instrument,companyName,cik,form,filedDate,accessionNumber,reportDate,primaryDocument,primaryDocDescription,primaryDocumentUrl,detail_url
BTC,"Kindly MD, Inc.  (KDLY, KDLYW)  (CIK 0001946573)",0001946573,8-K,2025-05-12T00:00:00Z,0001213900-25-041722,,,,,https://www.sec.gov/Archives/edgar/data/1946573/000121390025041722/0001213900-25-041722-index.htm
MAG7,Apple Inc.,0000320193,8-K,2025-05-12T00:00:00Z,0001140361-25-018400,2025-05-05,ef20048691_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/320193/000114036125018400/ef20048691_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125018400/0001140361-25-018400-index.htm
MAG7,Apple Inc.,0000320193,424B2,2025-05-06T00:00:00Z,0001140361-25-017543,,ny20048442x3_424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/320193/000114036125017543/ny20048442x3_424b2.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125017543/0001140361-25-017543-index.htm
MAG7,Apple Inc.,0000320193,FWP,2025-05-06T00:00:00Z,0001140361-25-017410,,ny20048442x2_fwp.htm,FWP,https://www.sec.gov/Archives/edgar/data/320193/000114036125017410/ny20048442x2_fwp.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125017410/0001140361-25-017410-index.htm
MAG7,Apple Inc.,0000320193,424B2,2025-05-05T00:00:00Z,0001140361-25-017233,,ny20048442x1_424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/320193/000114036125017233/ny20048442x1_424b2.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125017233/0001140361-25-017233-index.htm
MAG7,Apple Inc.,0000320193,10-Q,2025-05-02T00:00:00Z,0000320193-25-000057,2025-03-29,aapl-20250329.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/aapl-20250329.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/0000320193-25-000057-index.htm
BTC,Bitwise Funds Trust  (CIK 0001928561),0001928561,497K,2025-05-01T00:00:00Z,0001213900-25-037783,,,,,https://www.sec.gov/Archives/edgar/data/1928561/000121390025037783/0001213900-25-037783-index.htm
MAG7,Apple Inc.,0000320193,8-K,2025-05-01T00:00:00Z,0000320193-25-000055,2025-05-01,aapl-20250501.htm,8-K,https://www.sec.gov/Archives/edgar/data/320193/000032019325000055/aapl-20250501.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000055/0000320193-25-000055-index.htm
BTC,Amplify ETF Trust  (CIK 0001633061),0001633061,497K,2025-04-29T00:00:00Z,0001213900-25-036219,,,,,https://www.sec.gov/Archives/edgar/data/1633061/000121390025036219/0001213900-25-036219-index.htm
MAG7,Apple Inc.,0000320193,4,2025-04-25T00:00:00Z,0000320193-25-000051,2025-04-23,xslF345X05/wk-form4_1745620207.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/320193/000032019325000051/xslF345X05/wk-form4_1745620207.xml,https://www.sec.gov/Archives/edgar/data/320193/000032019325000051/0000320193-25-000051-index.htm
